Order_ID,Order_Date,Month,Quarter,Year,Week_Number,Region,City,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percentage,Sales_Amount,Marketing_Spend,Stock_Available,Reorder_Level,Previous_Month_Sales,Forecasted_Sales,Actual_Sales,Forecast_Error_Percentage,Demand_Level,Stock_Risk,Season
ORD100000,16-10-2025,October,Q4,2025,42,North,Delhi,Home Appliances,Microwave,353,9000,2.05,3111871.5,76482,456,100,3224511.93,3168191.71,2820465.07,10.98,Medium Demand,Healthy Stock,Festive
ORD100001,05-04-2024,April,Q2,2024,14,South,Hyderabad,Office Supplies,Paper Ream,77,350,11.22,23926.21,98850,2332,100,23155.98,23541.1,23683.16,0.6,Low Demand,Overstocked,Summer
ORD100002,11-10-2024,October,Q4,2024,41,North,Bangalore,Fashion,T-Shirt,425,1200,19.14,412386,49118,518,100,345207.63,378796.82,379124.3,0.09,Medium Demand,Healthy Stock,Festive
ORD100003,18-12-2024,December,Q4,2024,51,Central,Ahmedabad,Electronics,Printer,599,12000,2.5,7008300,54615,422,100,7154186.54,7081243.27,7470013.34,5.49,High Demand,Stockout Risk,Winter
ORD100004,25-09-2025,September,Q3,2025,39,East,Lucknow,Furniture,Bookshelf,121,10000,0.92,1198868,34871,1285,100,1431554.62,1315211.31,1284063.81,2.37,Low Demand,Overstocked,Monsoon
ORD100005,13-04-2024,April,Q2,2024,15,West,Ahmedabad,Fashion,Jacket,423,4500,3.25,1841636.25,51566,958,100,1966996.56,1904316.41,1915972.17,0.61,Medium Demand,Overstocked,Summer
ORD100006,30-11-2025,November,Q4,2025,48,North,Lucknow,Furniture,Bookshelf,382,10000,7.59,3530062,88886,2381,100,3134151.67,3332106.83,3406003.43,2.22,Medium Demand,Overstocked,Festive
ORD100007,27-02-2024,February,Q1,2024,9,South,Delhi,Home Appliances,Refrigerator,324,35000,1.32,11190312,79341,1388,100,9903992.55,10547152.28,11188591.51,6.08,Medium Demand,Overstocked,Spring
ORD100008,20-10-2025,October,Q4,2025,43,West,Bangalore,Home Appliances,Microwave,411,9000,10.78,3300247.8,81622,1854,100,3825413.44,3562830.62,3233847.15,9.23,Medium Demand,Overstocked,Festive
ORD100009,12-08-2024,August,Q3,2024,33,South,Jaipur,Fashion,Shoes,98,3000,17.22,243373.2,25033,755,100,271806.92,257590.06,239584.36,6.99,Low Demand,Overstocked,Monsoon
ORD100010,06-03-2024,March,Q1,2024,10,West,Kolkata,Office Supplies,Pen Set,591,500,5.03,280636.35,77512,147,100,300873.98,290755.16,259002.19,10.92,High Demand,Stockout Risk,Spring
ORD100011,03-07-2025,July,Q3,2025,27,East,Pune,Electronics,Tablet,495,18000,3.16,8628444,5425,1178,100,10257108.01,9442776,9080509.23,3.84,Medium Demand,Overstocked,Monsoon
ORD100012,03-06-2025,June,Q2,2025,23,North,Ahmedabad,Office Supplies,Paper Ream,253,350,3.06,85840.37,26174,2309,100,101411.8,93626.08,93092.75,0.57,Medium Demand,Overstocked,Summer
ORD100013,01-01-2024,January,Q1,2024,1,Central,Pune,Fashion,Shoes,164,3000,18.58,400586.4,45306,1080,100,329750.73,365168.57,430871.5,17.99,Low Demand,Overstocked,Winter
ORD100014,21-03-2024,March,Q1,2024,12,North,Chennai,Electronics,Mobile,181,25000,13.2,3927700,77063,776,100,3558585.17,3743142.58,4220261.05,12.75,Low Demand,Overstocked,Spring
ORD100015,09-03-2025,March,Q1,2025,10,South,Jaipur,Furniture,Bookshelf,369,10000,7.98,3395538,93039,1629,100,3311464.59,3353501.29,3407473.89,1.61,Medium Demand,Overstocked,Spring
ORD100016,03-05-2024,May,Q2,2024,18,South,Hyderabad,Electronics,Tablet,71,18000,11.77,1127579.4,35161,1002,100,905306.82,1016443.11,1174450.83,15.55,Low Demand,Overstocked,Summer
ORD100017,01-03-2024,March,Q1,2024,9,South,Mumbai,Electronics,Tablet,122,18000,10.28,1970251.2,41500,2088,100,1745041.09,1857646.15,1825363.6,1.74,Low Demand,Overstocked,Spring
ORD100018,07-08-2025,August,Q3,2025,32,Central,Chennai,Furniture,Desk,466,15000,3.81,6723681,17704,1865,100,6331818.33,6527749.67,6604137.01,1.17,Medium Demand,Overstocked,Monsoon
